model_name,video_name,num_predictions,mean_iou,median_iou,mean_confidence,mean_semantic_similarity
CG-DETR,TVSUM_10,16,0.0,0.0,0.99514375,0.4452521912753582
CG-DETR,TVSUM_11,17,0.0050830178180373544,0.0,0.9886294117647059,0.5330316143877366
CG-DETR,TVSUM_12,17,0.030651090463628447,0.0,0.9988764705882354,0.347216958508772
CG-DETR,TVSUM_9,18,0.10031484658875892,0.0,0.9924444444444445,0.4983071900076336
Moment-DETR,TVSUM_10,16,0.010429803039041459,0.0,0.99785625,0.4452521912753582
Moment-DETR,TVSUM_11,17,0.0013263667147469498,0.0,0.9967588235294118,0.5330316143877366
Moment-DETR,TVSUM_12,17,0.02980847045396023,0.0,0.9988235294117648,0.347216958508772
Moment-DETR,TVSUM_9,18,0.0667954176597333,0.0,0.9952555555555556,0.4983071900076336
